"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Geography","Type of school","Value","Numerator","Denominator"
"Permanent exclusions","2012/13","Academic Year","Total","ONS 5+1","England","Special","0.0658633","64","97171"
"Permanent exclusions","2012/13","Academic Year","White","ONS 5+1","England","Special","0.0697623","50","71672"
"Permanent exclusions","2012/13","Academic Year","White British","ONS 18+1","England","Special","0.0715245","49","68508"
"Permanent exclusions","2012/13","Academic Year","White Irish","ONS 18+1","England","Special","0","0","273"
"Permanent exclusions","2012/13","Academic Year","Irish Traveller","ONS 18+1","England","Special","0","0","103"
"Permanent exclusions","2012/13","Academic Year","Gypsy/Roma","ONS 18+1","England","Special","0.398406","1","251"
"Permanent exclusions","2012/13","Academic Year","White other","ONS 18+1","England","Special","0","0","2537"
"Permanent exclusions","2012/13","Academic Year","Mixed","ONS 5+1","England","Special","0.0727802","3","4122"
"Permanent exclusions","2012/13","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","Special","0.213068","3","1408"
"Permanent exclusions","2012/13","Academic Year","Mixed White/Black African","ONS 18+1","England","Special","0","0","460"
"Permanent exclusions","2012/13","Academic Year","Mixed White/Asian","ONS 18+1","England","Special","0","0","705"
"Permanent exclusions","2012/13","Academic Year","Mixed other","ONS 18+1","England","Special","0","0","1549"
"Permanent exclusions","2012/13","Academic Year","Asian","ONS 5+1","England","Special","0.0256772","2","7789"
"Permanent exclusions","2012/13","Academic Year","Indian","ONS 18+1","England","Special","0","0","1468"
"Permanent exclusions","2012/13","Academic Year","Pakistani","ONS 18+1","England","Special","0.026001","1","3846"
"Permanent exclusions","2012/13","Academic Year","Bangladeshi","ONS 18+1","England","Special","0","0","1159"
"Permanent exclusions","2012/13","Academic Year","Asian other","ONS 18+1","England","Special","0.0759878","1","1316"
"Permanent exclusions","2012/13","Academic Year","Black","ONS 5+1","England","Special","0.127924","7","5472"
"Permanent exclusions","2012/13","Academic Year","Black Caribbean","ONS 18+1","England","Special","0.135962","2","1471"
"Permanent exclusions","2012/13","Academic Year","Black African","ONS 18+1","England","Special","0.158028","5","3164"
"Permanent exclusions","2012/13","Academic Year","Black other","ONS 18+1","England","Special","0","0","837"
"Permanent exclusions","2012/13","Academic Year","Chinese","ONS 5+1","England","Special","0","0","247"
"Permanent exclusions","2012/13","Academic Year","Other","ONS 5+1","England","Special","0","0","1097"
"Permanent exclusions","2012/13","Academic Year","All Ethnic Minorities","ONS 18+1","England","Special","0.0593851","13","21891"
"Permanent exclusions","2012/13","Academic Year","Unclassified","ONS 18+1","England","Special","0.189036","2","1058"
"Permanent exclusions","2011/12","Academic Year","Total","ONS 5+1","England","Total","0.068456","5166","7546456"
"Permanent exclusions","2011/12","Academic Year","White","ONS 5+1","England","Total","0.0766963","3981","5190605"
"Permanent exclusions","2011/12","Academic Year","White British","ONS 18+1","England","Total","0.0771413","3769","4885840"
"Permanent exclusions","2011/12","Academic Year","White Irish","ONS 18+1","England","Total","0.0877355","19","21656"
"Permanent exclusions","2011/12","Academic Year","Irish Traveller","ONS 18+1","England","Total","0.275292","12","4359"
"Permanent exclusions","2011/12","Academic Year","Gypsy/Roma","ONS 18+1","England","Total","0.300218","44","14656"
"Permanent exclusions","2011/12","Academic Year","White other","ONS 18+1","England","Total","0.0518755","137","264094"
"Permanent exclusions","2011/12","Academic Year","Mixed","ONS 5+1","England","Total","0.126818","366","288603"
"Permanent exclusions","2011/12","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","Total","0.221797","196","88369"
"Permanent exclusions","2011/12","Academic Year","Mixed White/Black African","ONS 18+1","England","Total","0.111004","37","33332"
"Permanent exclusions","2011/12","Academic Year","Mixed White/Asian","ONS 18+1","England","Total","0.0501756","32","63776"
"Permanent exclusions","2011/12","Academic Year","Mixed other","ONS 18+1","England","Total","0.0979384","101","103126"
"Permanent exclusions","2011/12","Academic Year","Asian","ONS 5+1","England","Total","0.0344136","216","627659"
"Permanent exclusions","2011/12","Academic Year","Indian","ONS 18+1","England","Total","0.0117543","20","170151"
"Permanent exclusions","2011/12","Academic Year","Pakistani","ONS 18+1","England","Total","0.0490949","124","252572"
"Permanent exclusions","2011/12","Academic Year","Bangladeshi","ONS 18+1","England","Total","0.0446598","46","103001"
"Permanent exclusions","2011/12","Academic Year","Asian other","ONS 18+1","England","Total","0.0255065","26","101935"
"Permanent exclusions","2011/12","Academic Year","Black","ONS 5+1","England","Total","0.123982","420","338759"
"Permanent exclusions","2011/12","Academic Year","Black Caribbean","ONS 18+1","England","Total","0.23531","212","90094"
"Permanent exclusions","2011/12","Academic Year","Black African","ONS 18+1","England","Total","0.0744087","155","208309"
"Permanent exclusions","2011/12","Academic Year","Black other","ONS 18+1","England","Total","0.131331","53","40356"
"Permanent exclusions","2011/12","Academic Year","Chinese","ONS 5+1","England","Total","0.0118027","3","25418"
"Permanent exclusions","2011/12","Academic Year","Other","ONS 5+1","England","Total","0.0568199","55","96797"
"Permanent exclusions","2011/12","Academic Year","All Ethnic Minorities","ONS 18+1","England","Total","0.0756242","1272","1682001"
"Permanent exclusions","2011/12","Academic Year","Unclassified","ONS 18+1","England","Total","0.183521","108","58849"
"Permanent exclusions","2011/12","Academic Year","Total","ONS 5+1","England","State-funded primary","0.0163623","690","4217001"
"Permanent exclusions","2011/12","Academic Year","White","ONS 5+1","England","State-funded primary","0.0216283","550","2542963"
"Permanent exclusions","2011/12","Academic Year","White British","ONS 18+1","England","State-funded primary","0.0222437","528","2373706"
"Permanent exclusions","2011/12","Academic Year","White Irish","ONS 18+1","England","State-funded primary","0.0101451","1","9857"
"Permanent exclusions","2011/12","Academic Year","Irish Traveller","ONS 18+1","England","State-funded primary","0.063674","2","3141"
"Permanent exclusions","2011/12","Academic Year","Gypsy/Roma","ONS 18+1","England","State-funded primary","0.0629921","6","9525"
"Permanent exclusions","2011/12","Academic Year","White other","ONS 18+1","England","State-funded primary","0.00885957","13","146734"
"Permanent exclusions","2011/12","Academic Year","Mixed","ONS 5+1","England","State-funded primary","0.0401599","64","159363"
"Permanent exclusions","2011/12","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","State-funded primary","0.069597","32","45979"
"Permanent exclusions","2011/12","Academic Year","Mixed White/Black African","ONS 18+1","England","State-funded primary","0.0467241","9","19262"
"Permanent exclusions","2011/12","Academic Year","Mixed White/Asian","ONS 18+1","England","State-funded primary","0.0138616","5","36071"
"Permanent exclusions","2011/12","Academic Year","Mixed other","ONS 18+1","England","State-funded primary","0.0310072","18","58051"
"Permanent exclusions","2011/12","Academic Year","Asian","ONS 5+1","England","State-funded primary","0.00324041","11","339463"
"Permanent exclusions","2011/12","Academic Year","Indian","ONS 18+1","England","State-funded primary","0.0011569","1","86438"
"Permanent exclusions","2011/12","Academic Year","Pakistani","ONS 18+1","England","State-funded primary","0.00351148","5","142390"
"Permanent exclusions","2011/12","Academic Year","Bangladeshi","ONS 18+1","England","State-funded primary","0.00350183","2","57113"
"Permanent exclusions","2011/12","Academic Year","Asian other","ONS 18+1","England","State-funded primary","0.00560517","3","53522"
"Permanent exclusions","2011/12","Academic Year","Black","ONS 5+1","England","State-funded primary","0.0234431","42","179157"
"Permanent exclusions","2011/12","Academic Year","Black Caribbean","ONS 18+1","England","State-funded primary","0.0560513","25","44602"
"Permanent exclusions","2011/12","Academic Year","Black African","ONS 18+1","England","State-funded primary","0.0106971","12","112180"
"Permanent exclusions","2011/12","Academic Year","Black other","ONS 18+1","England","State-funded primary","0.0223464","5","22375"
"Permanent exclusions","2011/12","Academic Year","Chinese","ONS 5+1","England","State-funded primary","0","0","11771"
"Permanent exclusions","2011/12","Academic Year","Other","ONS 5+1","England","State-funded primary","0.00190262","1","52559"
"Permanent exclusions","2011/12","Academic Year","All Ethnic Minorities","ONS 18+1","England","State-funded primary","0.0153581","140","911570"
"Permanent exclusions","2011/12","Academic Year","Unclassified","ONS 18+1","England","State-funded primary","0.0228927","5","21841"
"Permanent exclusions","2011/12","Academic Year","Total","ONS 5+1","England","State-funded secondary","0.13577","4392","3234877"
"Permanent exclusions","2011/12","Academic Year","White","ONS 5+1","England","State-funded secondary","0.130927","3374","2577005"
"Permanent exclusions","2011/12","Academic Year","White British","ONS 18+1","England","State-funded secondary","0.130501","3190","2444425"
"Permanent exclusions","2011/12","Academic Year","White Irish","ONS 18+1","England","State-funded secondary","0.147403","17","11533"
"Permanent exclusions","2011/12","Academic Year","Irish Traveller","ONS 18+1","England","State-funded secondary","0.888099","10","1126"
"Permanent exclusions","2011/12","Academic Year","Gypsy/Roma","ONS 18+1","England","State-funded secondary","0.733347","36","4909"
"Permanent exclusions","2011/12","Academic Year","White other","ONS 18+1","England","State-funded secondary","0.105206","121","115012"
"Permanent exclusions","2011/12","Academic Year","Mixed","ONS 5+1","England","State-funded secondary","0.23841","299","125414"
"Permanent exclusions","2011/12","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","State-funded secondary","0.3923","161","41040"
"Permanent exclusions","2011/12","Academic Year","Mixed White/Black African","ONS 18+1","England","State-funded secondary","0.204738","28","13676"
"Permanent exclusions","2011/12","Academic Year","Mixed White/Asian","ONS 18+1","England","State-funded secondary","0.0998336","27","27045"
"Permanent exclusions","2011/12","Academic Year","Mixed other","ONS 18+1","England","State-funded secondary","0.190136","83","43653"
"Permanent exclusions","2011/12","Academic Year","Asian","ONS 5+1","England","State-funded secondary","0.0712304","200","280779"
"Permanent exclusions","2011/12","Academic Year","Indian","ONS 18+1","England","State-funded secondary","0.0206549","17","82305"
"Permanent exclusions","2011/12","Academic Year","Pakistani","ONS 18+1","England","State-funded secondary","0.10894","116","106481"
"Permanent exclusions","2011/12","Academic Year","Bangladeshi","ONS 18+1","England","State-funded secondary","0.0981726","44","44819"
"Permanent exclusions","2011/12","Academic Year","Asian other","ONS 18+1","England","State-funded secondary","0.0487557","23","47174"
"Permanent exclusions","2011/12","Academic Year","Black","ONS 5+1","England","State-funded secondary","0.239591","370","154430"
"Permanent exclusions","2011/12","Academic Year","Black Caribbean","ONS 18+1","England","State-funded secondary","0.417774","184","44043"
"Permanent exclusions","2011/12","Academic Year","Black African","ONS 18+1","England","State-funded secondary","0.149129","139","93208"
"Permanent exclusions","2011/12","Academic Year","Black other","ONS 18+1","England","State-funded secondary","0.27359","47","17179"
"Permanent exclusions","2011/12","Academic Year","Chinese","ONS 5+1","England","State-funded secondary","0.0223647","3","13414"
"Permanent exclusions","2011/12","Academic Year","Other","ONS 5+1","England","State-funded secondary","0.124844","54","43254"
"Permanent exclusions","2011/12","Academic Year","All Ethnic Minorities","ONS 18+1","England","State-funded secondary","0.148025","1110","749871"
"Permanent exclusions","2011/12","Academic Year","Unclassified","ONS 18+1","England","State-funded secondary","0.255804","92","35965"
"Permanent exclusions","2011/12","Academic Year","Total","ONS 5+1","England","Special","0.0888156","84","94578"
"Permanent exclusions","2011/12","Academic Year","White","ONS 5+1","England","Special","0.0806943","57","70637"
"Permanent exclusions","2011/12","Academic Year","White British","ONS 18+1","England","Special","0.0753223","51","67709"
"Permanent exclusions","2011/12","Academic Year","White Irish","ONS 18+1","England","Special","0.37594","1","266"
"Permanent exclusions","2011/12","Academic Year","Irish Traveller","ONS 18+1","England","Special","0","0","92"
"Permanent exclusions","2011/12","Academic Year","Gypsy/Roma","ONS 18+1","England","Special","0.900901","2","222"
"Permanent exclusions","2011/12","Academic Year","White other","ONS 18+1","England","Special","0.127768","3","2348"
"Permanent exclusions","2011/12","Academic Year","Mixed","ONS 5+1","England","Special","0.0784109","3","3826"
"Permanent exclusions","2011/12","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","Special","0.222222","3","1350"
"Permanent exclusions","2011/12","Academic Year","Mixed White/Black African","ONS 18+1","England","Special","0","0","394"
"Permanent exclusions","2011/12","Academic Year","Mixed White/Asian","ONS 18+1","England","Special","0","0","660"
"Permanent exclusions","2011/12","Academic Year","Mixed other","ONS 18+1","England","Special","0","0","1422"
"Permanent exclusions","2011/12","Academic Year","Asian","ONS 5+1","England","Special","0.0674127","5","7417"
"Permanent exclusions","2011/12","Academic Year","Indian","ONS 18+1","England","Special","0.142045","2","1408"
"Permanent exclusions","2011/12","Academic Year","Pakistani","ONS 18+1","England","Special","0.0810592","3","3701"
"Permanent exclusions","2011/12","Academic Year","Bangladeshi","ONS 18+1","England","Special","0","0","1069"
"Permanent exclusions","2011/12","Academic Year","Asian other","ONS 18+1","England","Special","0","0","1239"
"Permanent exclusions","2011/12","Academic Year","Black","ONS 5+1","England","Special","0.154679","8","5172"
"Permanent exclusions","2011/12","Academic Year","Black Caribbean","ONS 18+1","England","Special","0.207039","3","1449"
"Permanent exclusions","2011/12","Academic Year","Black African","ONS 18+1","England","Special","0.136939","4","2921"
"Permanent exclusions","2011/12","Academic Year","Black other","ONS 18+1","England","Special","0.124688","1","802"
"Permanent exclusions","2011/12","Academic Year","Chinese","ONS 5+1","England","Special","0","0","233"
"Permanent exclusions","2011/12","Academic Year","Other","ONS 5+1","England","Special","0","0","984"
"Permanent exclusions","2011/12","Academic Year","All Ethnic Minorities","ONS 18+1","England","Special","0.107004","22","20560"
"Permanent exclusions","2011/12","Academic Year","Unclassified","ONS 18+1","England","Special","1.05465","11","1043"
"Permanent exclusions","2010/11","Academic Year","Total","ONS 5+1","England","Total","0.0678205","5082","7493306"
"Permanent exclusions","2010/11","Academic Year","White","ONS 5+1","England","Total","0.0737162","3853","5226803"
"Permanent exclusions","2010/11","Academic Year","White British","ONS 18+1","England","Total","0.074235","3665","4937026"
"Permanent exclusions","2010/11","Academic Year","White Irish","ONS 18+1","England","Total","0.0457436","10","21861"
"Permanent exclusions","2010/11","Academic Year","Irish Traveller","ONS 18+1","England","Total","0.468823","20","4266"
"Permanent exclusions","2010/11","Academic Year","Gypsy/Roma","ONS 18+1","England","Total","0.293618","38","12942"
"Permanent exclusions","2010/11","Academic Year","White other","ONS 18+1","England","Total","0.0478644","120","250708"
"Permanent exclusions","2010/11","Academic Year","Mixed","ONS 5+1","England","Total","0.132617","362","272966"
"Permanent exclusions","2010/11","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","Total","0.217602","186","85477"
"Permanent exclusions","2010/11","Academic Year","Mixed White/Black African","ONS 18+1","England","Total","0.114514","35","30564"
"Permanent exclusions","2010/11","Academic Year","Mixed White/Asian","ONS 18+1","England","Total","0.0794953","47","59123"
"Permanent exclusions","2010/11","Academic Year","Mixed other","ONS 18+1","England","Total","0.0961126","94","97802"
"Permanent exclusions","2010/11","Academic Year","Asian","ONS 5+1","England","Total","0.0351816","211","599746"
"Permanent exclusions","2010/11","Academic Year","Indian","ONS 18+1","England","Total","0.0173613","29","167038"
"Permanent exclusions","2010/11","Academic Year","Pakistani","ONS 18+1","England","Total","0.0524702","127","242042"
"Permanent exclusions","2010/11","Academic Year","Bangladeshi","ONS 18+1","England","Total","0.0341777","34","99480"
"Permanent exclusions","2010/11","Academic Year","Asian other","ONS 18+1","England","Total","0.0230299","21","91186"
"Permanent exclusions","2010/11","Academic Year","Black","ONS 5+1","England","Total","0.135761","443","326308"
"Permanent exclusions","2010/11","Academic Year","Black Caribbean","ONS 18+1","England","Total","0.230574","210","91077"
"Permanent exclusions","2010/11","Academic Year","Black African","ONS 18+1","England","Total","0.0868338","171","196928"
"Permanent exclusions","2010/11","Academic Year","Black other","ONS 18+1","England","Total","0.161867","62","38303"
"Permanent exclusions","2010/11","Academic Year","Chinese","ONS 5+1","England","Total","0","0","25189"
"Permanent exclusions","2010/11","Academic Year","Other","ONS 5+1","England","Total","0.051263","47","91684"
"Permanent exclusions","2010/11","Academic Year","All Ethnic Minorities","ONS 18+1","England","Total","0.0779114","1251","1605670"
"Permanent exclusions","2010/11","Academic Year","Unclassified","ONS 18+1","England","Total","0.254686","153","60074"
"Permanent exclusions","2010/11","Academic Year","Total","ONS 5+1","England","State-funded primary","0.0146456","606","4137755"
"Permanent exclusions","2010/11","Academic Year","White","ONS 5+1","England","State-funded primary","0.0184945","468","2530478"
"Permanent exclusions","2010/11","Academic Year","White British","ONS 18+1","England","State-funded primary","0.0187595","445","2372129"
"Permanent exclusions","2010/11","Academic Year","White Irish","ONS 18+1","England","State-funded primary","0.009995","1","10005"
"Permanent exclusions","2010/11","Academic Year","Irish Traveller","ONS 18+1","England","State-funded primary","0.263418","8","3037"
"Permanent exclusions","2010/11","Academic Year","Gypsy/Roma","ONS 18+1","England","State-funded primary","0.0712166","6","8425"
"Permanent exclusions","2010/11","Academic Year","White other","ONS 18+1","England","State-funded primary","0.00584445","8","136882"
"Permanent exclusions","2010/11","Academic Year","Mixed","ONS 5+1","England","State-funded primary","0.0261619","39","149072"
"Permanent exclusions","2010/11","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","State-funded primary","0.042966","19","44221"
"Permanent exclusions","2010/11","Academic Year","Mixed White/Black African","ONS 18+1","England","State-funded primary","0.0113727","2","17586"
"Permanent exclusions","2010/11","Academic Year","Mixed White/Asian","ONS 18+1","England","State-funded primary","0.0151465","5","33011"
"Permanent exclusions","2010/11","Academic Year","Mixed other","ONS 18+1","England","State-funded primary","0.0239614","13","54254"
"Permanent exclusions","2010/11","Academic Year","Asian","ONS 5+1","England","State-funded primary","0.00309271","10","323341"
"Permanent exclusions","2010/11","Academic Year","Indian","ONS 18+1","England","State-funded primary","0.00119352","1","83786"
"Permanent exclusions","2010/11","Academic Year","Pakistani","ONS 18+1","England","State-funded primary","0.00584723","8","136817"
"Permanent exclusions","2010/11","Academic Year","Bangladeshi","ONS 18+1","England","State-funded primary","0.00180109","1","55522"
"Permanent exclusions","2010/11","Academic Year","Asian other","ONS 18+1","England","State-funded primary","0","0","47216"
"Permanent exclusions","2010/11","Academic Year","Black","ONS 5+1","England","State-funded primary","0.0327415","56","171037"
"Permanent exclusions","2010/11","Academic Year","Black Caribbean","ONS 18+1","England","State-funded primary","0.0869895","39","44833"
"Permanent exclusions","2010/11","Academic Year","Black African","ONS 18+1","England","State-funded primary","0.00854839","9","105283"
"Permanent exclusions","2010/11","Academic Year","Black other","ONS 18+1","England","State-funded primary","0.0382391","8","20921"
"Permanent exclusions","2010/11","Academic Year","Chinese","ONS 5+1","England","State-funded primary","0","0","11410"
"Permanent exclusions","2010/11","Academic Year","Other","ONS 5+1","England","State-funded primary","0.00403812","2","49528"
"Permanent exclusions","2010/11","Academic Year","All Ethnic Minorities","ONS 18+1","England","State-funded primary","0.0150683","130","862737"
"Permanent exclusions","2010/11","Academic Year","Unclassified","ONS 18+1","England","State-funded primary","0.0851185","18","21147"
"Permanent exclusions","2010/11","Academic Year","Total","ONS 5+1","England","State-funded secondary","0.13388","4368","3262633"
"Permanent exclusions","2010/11","Academic Year","White","ONS 5+1","England","State-funded secondary","0.125671","3300","2625900"
"Permanent exclusions","2010/11","Academic Year","White British","ONS 18+1","England","State-funded secondary","0.125575","3136","2497315"
"Permanent exclusions","2010/11","Academic Year","White Irish","ONS 18+1","England","State-funded secondary","0.0776733","9","11587"
"Permanent exclusions","2010/11","Academic Year","Irish Traveller","ONS 18+1","England","State-funded secondary","1.04439","12","1149"
"Permanent exclusions","2010/11","Academic Year","Gypsy/Roma","ONS 18+1","England","State-funded secondary","0.741084","32","4318"
"Permanent exclusions","2010/11","Academic Year","White other","ONS 18+1","England","State-funded secondary","0.0995239","111","111531"
"Permanent exclusions","2010/11","Academic Year","Mixed","ONS 5+1","England","State-funded secondary","0.263582","317","120266"
"Permanent exclusions","2010/11","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","State-funded secondary","0.410359","164","39965"
"Permanent exclusions","2010/11","Academic Year","Mixed White/Black African","ONS 18+1","England","State-funded secondary","0.253706","32","12613"
"Permanent exclusions","2010/11","Academic Year","Mixed White/Asian","ONS 18+1","England","State-funded secondary","0.160917","41","25479"
"Permanent exclusions","2010/11","Academic Year","Mixed other","ONS 18+1","England","State-funded secondary","0.189533","80","42209"
"Permanent exclusions","2010/11","Academic Year","Asian","ONS 5+1","England","State-funded secondary","0.0723519","195","269516"
"Permanent exclusions","2010/11","Academic Year","Indian","ONS 18+1","England","State-funded secondary","0.0329694","27","81894"
"Permanent exclusions","2010/11","Academic Year","Pakistani","ONS 18+1","England","State-funded secondary","0.114045","116","101714"
"Permanent exclusions","2010/11","Academic Year","Bangladeshi","ONS 18+1","England","State-funded secondary","0.0744498","32","42982"
"Permanent exclusions","2010/11","Academic Year","Asian other","ONS 18+1","England","State-funded secondary","0.0465918","20","42926"
"Permanent exclusions","2010/11","Academic Year","Black","ONS 5+1","England","State-funded secondary","0.251283","378","150428"
"Permanent exclusions","2010/11","Academic Year","Black Caribbean","ONS 18+1","England","State-funded secondary","0.368394","165","44789"
"Permanent exclusions","2010/11","Academic Year","Black African","ONS 18+1","England","State-funded secondary","0.180903","161","88998"
"Permanent exclusions","2010/11","Academic Year","Black other","ONS 18+1","England","State-funded secondary","0.312481","52","16641"
"Permanent exclusions","2010/11","Academic Year","Chinese","ONS 5+1","England","State-funded secondary","0","0","13551"
"Permanent exclusions","2010/11","Academic Year","Other","ONS 5+1","England","State-funded secondary","0.106641","44","41260"
"Permanent exclusions","2010/11","Academic Year","All Ethnic Minorities","ONS 18+1","England","State-funded secondary","0.15174","1098","723606"
"Permanent exclusions","2010/11","Academic Year","Unclassified","ONS 18+1","England","State-funded secondary","0.353693","134","37886"
"Permanent exclusions","2010/11","Academic Year","Total","ONS 5+1","England","Special","0.116232","108","92918"
"Permanent exclusions","2010/11","Academic Year","White","ONS 5+1","England","Special","0.120696","85","70425"
"Permanent exclusions","2010/11","Academic Year","White British","ONS 18+1","England","Special","0.124293","84","67582"
"Permanent exclusions","2010/11","Academic Year","White Irish","ONS 18+1","England","Special","0","0","269"
"Permanent exclusions","2010/11","Academic Year","Irish Traveller","ONS 18+1","England","Special","0","0","80"
"Permanent exclusions","2010/11","Academic Year","Gypsy/Roma","ONS 18+1","England","Special","0","0","199"
"Permanent exclusions","2010/11","Academic Year","White other","ONS 18+1","England","Special","0.043573","1","2295"
"Permanent exclusions","2010/11","Academic Year","Mixed","ONS 5+1","England","Special","0.16538","6","3628"
"Permanent exclusions","2010/11","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","Special","0.232378","3","1291"
"Permanent exclusions","2010/11","Academic Year","Mixed White/Black African","ONS 18+1","England","Special","0.273973","1","365"
"Permanent exclusions","2010/11","Academic Year","Mixed White/Asian","ONS 18+1","England","Special","0.157978","1","633"
"Permanent exclusions","2010/11","Academic Year","Mixed other","ONS 18+1","England","Special","0.0746826","1","1339"
"Permanent exclusions","2010/11","Academic Year","Asian","ONS 5+1","England","Special","0.0870954","6","6889"
"Permanent exclusions","2010/11","Academic Year","Indian","ONS 18+1","England","Special","0.0736377","1","1358"
"Permanent exclusions","2010/11","Academic Year","Pakistani","ONS 18+1","England","Special","0.0854457","3","3511"
"Permanent exclusions","2010/11","Academic Year","Bangladeshi","ONS 18+1","England","Special","0.102459","1","976"
"Permanent exclusions","2010/11","Academic Year","Asian other","ONS 18+1","England","Special","0.0957854","1","1044"
"Permanent exclusions","2010/11","Academic Year","Black","ONS 5+1","England","Special","0.185835","9","4843"
"Permanent exclusions","2010/11","Academic Year","Black Caribbean","ONS 18+1","England","Special","0.412371","6","1455"
"Permanent exclusions","2010/11","Academic Year","Black African","ONS 18+1","England","Special","0.0377786","1","2647"
"Permanent exclusions","2010/11","Academic Year","Black other","ONS 18+1","England","Special","0.269906","2","741"
"Permanent exclusions","2010/11","Academic Year","Chinese","ONS 5+1","England","Special","0","0","228"
"Permanent exclusions","2010/11","Academic Year","Other","ONS 5+1","England","Special","0.111607","1","896"
"Permanent exclusions","2010/11","Academic Year","All Ethnic Minorities","ONS 18+1","England","Special","0.119005","23","19327"
"Permanent exclusions","2010/11","Academic Year","Unclassified","ONS 18+1","England","Special","0.0960615","1","1041"
"Permanent exclusions","2009/10","Academic Year","Total","ONS 5+1","England","Total","0.0767659","5732.020384","7466884"
"Permanent exclusions","2009/10","Academic Year","White","ONS 5+1","England","Total","0.0820304","4321.94523","5268710"
"Permanent exclusions","2009/10","Academic Year","White British","ONS 18+1","England","Total","0.0820899","4093.678435","4986821"
"Permanent exclusions","2009/10","Academic Year","White Irish","ONS 18+1","England","Total","0.112092","24.96965203","22276"
"Permanent exclusions","2009/10","Academic Year","Irish Traveller","ONS 18+1","England","Total","0.462678","18.99756697","4106"
"Permanent exclusions","2009/10","Academic Year","Gypsy/Roma","ONS 18+1","England","Total","0.327858","36.64468017","11177"
"Permanent exclusions","2009/10","Academic Year","White other","ONS 18+1","England","Total","0.0604326","147.6548961","244330"
"Permanent exclusions","2009/10","Academic Year","Mixed","ONS 5+1","England","Total","0.149378","385.4472536","258035"
"Permanent exclusions","2009/10","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","Total","0.241749","200.1607328","82797"
"Permanent exclusions","2009/10","Academic Year","Mixed White/Black African","ONS 18+1","England","Total","0.13534","37.84237592","27961"
"Permanent exclusions","2009/10","Academic Year","Mixed White/Asian","ONS 18+1","England","Total","0.0639632","35.04093508","54783"
"Permanent exclusions","2009/10","Academic Year","Mixed other","ONS 18+1","England","Total","0.121525","112.4032098","92494"
"Permanent exclusions","2009/10","Academic Year","Asian","ONS 5+1","England","Total","0.0423702","244.7104331","577553"
"Permanent exclusions","2009/10","Academic Year","Indian","ONS 18+1","England","Total","0.0222228","36.50695507","164277"
"Permanent exclusions","2009/10","Academic Year","Pakistani","ONS 18+1","England","Total","0.0538184","124.9710886","232209"
"Permanent exclusions","2009/10","Academic Year","Bangladeshi","ONS 18+1","England","Total","0.0620267","59.34840888","95682"
"Permanent exclusions","2009/10","Academic Year","Asian other","ONS 18+1","England","Total","0.0279721","23.88398053","85385"
"Permanent exclusions","2009/10","Academic Year","Black","ONS 5+1","England","Total","0.19099","598.701754","313473"
"Permanent exclusions","2009/10","Academic Year","Black Caribbean","ONS 18+1","England","Total","0.33906","311.4738431","91864"
"Permanent exclusions","2009/10","Academic Year","Black African","ONS 18+1","England","Total","0.112685","208.9336823","185414"
"Permanent exclusions","2009/10","Academic Year","Black other","ONS 18+1","England","Total","0.216312","78.2942286","36195"
"Permanent exclusions","2009/10","Academic Year","Chinese","ONS 5+1","England","Total","0.00930526","2.306122449","24783"
"Permanent exclusions","2009/10","Academic Year","Other","ONS 5+1","England","Total","0.0639469","55.71625758","87129"
"Permanent exclusions","2009/10","Academic Year","All Ethnic Minorities","ONS 18+1","England","Total","0.0982038","1515.148616","1542862"
"Permanent exclusions","2009/10","Academic Year","Unclassified","ONS 18+1","England","Total","0.153648","100","65084"
"Permanent exclusions","2009/10","Academic Year","Total","ONS 5+1","England","State-funded primary","0.0149881","614","4096582"
"Permanent exclusions","2009/10","Academic Year","White","ONS 5+1","England","State-funded primary","0.0181929","461.6936537","2537772"
"Permanent exclusions","2009/10","Academic Year","White British","ONS 18+1","England","State-funded primary","0.0185601","443.026987","2386990"
"Permanent exclusions","2009/10","Academic Year","White Irish","ONS 18+1","England","State-funded primary","0.0096918","1","10318"
"Permanent exclusions","2009/10","Academic Year","Irish Traveller","ONS 18+1","England","State-funded primary","0.182774","5.333333333","2918"
"Permanent exclusions","2009/10","Academic Year","Gypsy/Roma","ONS 18+1","England","State-funded primary","0.0420588","3.083333333","7331"
"Permanent exclusions","2009/10","Academic Year","White other","ONS 18+1","England","State-funded primary","0.00710364","9.25","130215"
"Permanent exclusions","2009/10","Academic Year","Mixed","ONS 5+1","England","State-funded primary","0.0428449","60.15856307","140410"
"Permanent exclusions","2009/10","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","State-funded primary","0.0615077","26.31608187","42785"
"Permanent exclusions","2009/10","Academic Year","Mixed White/Black African","ONS 18+1","England","State-funded primary","0.0528603","8.496240602","16073"
