"Measure","Time","Time_Type","Local_Authority_code","Local_Authority_name","Type of school","Ethnicity","Ethnicity_type","Value","Numerator","Denominator"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","State-funded primary","All Ethnic Minorities","ONS 18+1","0.51","57","11127"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","State-funded primary","Unclassified","ONS 18+1","2.65","4","151"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","State-funded secondary","White","ONS 5+1","6.42","1557","24265"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","State-funded secondary","White British","ONS 18+1","6.37","1456","22869"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","State-funded secondary","White Irish","ONS 18+1","2.8","3","107"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","State-funded secondary","Irish Traveller","ONS 18+1","42.86","3","7"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","State-funded secondary","Gypsy/Roma","ONS 18+1","20","3","15"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","State-funded secondary","White other","ONS 18+1","7.26","92","1267"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","State-funded secondary","Mixed","ONS 5+1","7.65","124","1621"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","State-funded secondary","Mixed White/Black Caribbean","ONS 18+1","9.01","21","233"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","State-funded secondary","Mixed White/Black African","ONS 18+1","8.97","27","301"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","State-funded secondary","Mixed White/Asian","ONS 18+1","2.15","4","186"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","State-funded secondary","Mixed other","ONS 18+1","7.99","72","901"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","State-funded secondary","Asian","ONS 5+1","1.95","20","1027"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","State-funded secondary","Indian","ONS 18+1","1.72","6","349"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","State-funded secondary","Pakistani","ONS 18+1","1.84","3","163"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","State-funded secondary","Bangladeshi","ONS 18+1","0.69","1","144"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","State-funded secondary","Asian other","ONS 18+1","2.7","10","371"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","State-funded secondary","Black","ONS 5+1","6.23","67","1075"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","State-funded secondary","Black Caribbean","ONS 18+1","7.5","3","40"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","State-funded secondary","Black African","ONS 18+1","3.87","23","594"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","State-funded secondary","Black other","ONS 18+1","9.3","41","441"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","State-funded secondary","Chinese","ONS 5+1","1.36","4","295"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","State-funded secondary","Other","ONS 5+1","6.2","67","1080"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","State-funded secondary","All Ethnic Minorities","ONS 18+1","5.9","383","6494"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","State-funded secondary","Unclassified","ONS 18+1","8.43","29","344"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","special","White","ONS 5+1","13.55","162","1196"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","special","White British","ONS 18+1","13.79","159","1153"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","special","White Irish","ONS 18+1","0","0","5"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","special","Gypsy/Roma","ONS 18+1","150","3","2"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","special","White other","ONS 18+1","0","0","36"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","special","Mixed","ONS 5+1","6.33","5","79"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","special","Mixed White/Black Caribbean","ONS 18+1","23.08","3","13"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","special","Mixed White/Black African","ONS 18+1","0","0","16"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","special","Mixed White/Asian","ONS 18+1","0","0","5"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","special","Mixed other","ONS 18+1","4.44","2","45"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","special","Asian","ONS 5+1","0","0","47"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","special","Indian","ONS 18+1","0","0","5"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","special","Pakistani","ONS 18+1","0","0","14"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","special","Bangladeshi","ONS 18+1","0","0","6"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","special","Asian other","ONS 18+1","0","0","22"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","special","Black","ONS 5+1","3.23","3","93"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","special","Black Caribbean","ONS 18+1","0","0","5"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","special","Black African","ONS 18+1","4.65","2","43"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","special","Black other","ONS 18+1","2.22","1","45"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","special","Chinese","ONS 5+1","0","0","23"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","special","Other","ONS 5+1","0","0","40"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","special","All Ethnic Minorities","ONS 18+1","3.38","11","325"
"Fixed period exclusions","2017/18","Academic Year","E08000012","Liverpool","special","Unclassified","ONS 18+1","16.67","1","6"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","Total","White","ONS 5+1","5.69","1440","25319"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","Total","White British","ONS 18+1","5.77","1431","24780"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","Total","White Irish","ONS 18+1","0","0","41"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","Total","Irish Traveller","ONS 18+1","0","0","33"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","Total","Gypsy/Roma","ONS 18+1","0","0","15"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","Total","White other","ONS 18+1","2","9","450"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","Total","Mixed","ONS 5+1","8.11","40","493"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","Total","Mixed White/Black Caribbean","ONS 18+1","15.38","14","91"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","Total","Mixed White/Black African","ONS 18+1","14.29","10","70"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","Total","Mixed White/Asian","ONS 18+1","4.23","6","142"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","Total","Mixed other","ONS 18+1","5.26","10","190"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","Total","Asian","ONS 5+1","1.92","5","261"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","Total","Indian","ONS 18+1","0","0","45"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","Total","Pakistani","ONS 18+1","0","0","4"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","Total","Bangladeshi","ONS 18+1","7.69","2","26"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","Total","Asian other","ONS 18+1","1.61","3","186"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","Total","Black","ONS 5+1","0.82","1","122"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","Total","Black Caribbean","ONS 18+1","0","0","4"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","Total","Black African","ONS 18+1","1.54","1","65"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","Total","Black other","ONS 18+1","0","0","53"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","Total","Chinese","ONS 5+1","0","0","80"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","Total","Other","ONS 5+1","0","0","104"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","Total","All Ethnic Minorities","ONS 18+1","3.44","55","1599"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","Total","Unclassified","ONS 18+1","1.61","1","62"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded primary","White","ONS 5+1","1.1","167","15221"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded primary","White British","ONS 18+1","1.12","166","14839"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded primary","White Irish","ONS 18+1","0","0","26"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded primary","Irish Traveller","ONS 18+1","0","0","30"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded primary","Gypsy/Roma","ONS 18+1","0","0","14"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded primary","White other","ONS 18+1","0.32","1","312"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded primary","Mixed","ONS 5+1","3.46","10","289"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded primary","Mixed White/Black Caribbean","ONS 18+1","7.5","3","40"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded primary","Mixed White/Black African","ONS 18+1","2.7","1","37"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded primary","Mixed White/Asian","ONS 18+1","2.53","2","79"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded primary","Mixed other","ONS 18+1","3.01","4","133"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded primary","Asian","ONS 5+1","0","0","161"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded primary","Indian","ONS 18+1","0","0","19"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded primary","Pakistani","ONS 18+1","0","0","4"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded primary","Bangladeshi","ONS 18+1","0","0","12"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded primary","Asian other","ONS 18+1","0","0","126"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded primary","Black","ONS 5+1","0","0","63"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded primary","Black Caribbean","ONS 18+1","0","0","1"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded primary","Black African","ONS 18+1","0","0","39"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded primary","Black other","ONS 18+1","0","0","23"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded primary","Chinese","ONS 5+1","0","0","62"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded primary","Other","ONS 5+1","0","0","81"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded primary","All Ethnic Minorities","ONS 18+1","1.06","11","1038"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded primary","Unclassified","ONS 18+1","0","0","34"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded secondary","White","ONS 5+1","12.36","1200","9710"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded secondary","White British","ONS 18+1","12.49","1195","9565"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded secondary","White Irish","ONS 18+1","0","0","15"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded secondary","Gypsy/Roma","ONS 18+1","0","0","1"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded secondary","White other","ONS 18+1","3.88","5","129"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded secondary","Mixed","ONS 5+1","11.4","22","193"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded secondary","Mixed White/Black Caribbean","ONS 18+1","6.67","3","45"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded secondary","Mixed White/Black African","ONS 18+1","27.27","9","33"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded secondary","Mixed White/Asian","ONS 18+1","6.56","4","61"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded secondary","Mixed other","ONS 18+1","11.11","6","54"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded secondary","Asian","ONS 5+1","5.15","5","97"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded secondary","Indian","ONS 18+1","0","0","24"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded secondary","Bangladeshi","ONS 18+1","14.29","2","14"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded secondary","Asian other","ONS 18+1","5.08","3","59"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded secondary","Black","ONS 5+1","1.82","1","55"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded secondary","Black Caribbean","ONS 18+1","0","0","3"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded secondary","Black African","ONS 18+1","4.17","1","24"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded secondary","Black other","ONS 18+1","0","0","28"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded secondary","Chinese","ONS 5+1","0","0","18"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded secondary","Other","ONS 5+1","0","0","20"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded secondary","All Ethnic Minorities","ONS 18+1","6.25","33","528"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","State-funded secondary","Unclassified","ONS 18+1","3.7","1","27"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","special","White","ONS 5+1","18.81","73","388"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","special","White British","ONS 18+1","18.62","70","376"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","special","Irish Traveller","ONS 18+1","0","0","3"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","special","White other","ONS 18+1","33.33","3","9"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","special","Mixed","ONS 5+1","72.73","8","11"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","special","Mixed White/Black Caribbean","ONS 18+1","133.33","8","6"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","special","Mixed White/Asian","ONS 18+1","0","0","2"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","special","Mixed other","ONS 18+1","0","0","3"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","special","Asian","ONS 5+1","0","0","3"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","special","Indian","ONS 18+1","0","0","2"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","special","Asian other","ONS 18+1","0","0","1"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","special","Black","ONS 5+1","0","0","4"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","special","Black African","ONS 18+1","0","0","2"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","special","Black other","ONS 18+1","0","0","2"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","special","Other","ONS 5+1","0","0","3"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","special","All Ethnic Minorities","ONS 18+1","33.33","11","33"
"Fixed period exclusions","2017/18","Academic Year","E08000013","St. Helens","special","Unclassified","ONS 18+1","0","0","1"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","Total","White","ONS 5+1","2.75","1029","37382"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","Total","White British","ONS 18+1","2.71","978","36063"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","Total","White Irish","ONS 18+1","3.26","3","92"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","Total","Irish Traveller","ONS 18+1","11.54","3","26"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","Total","Gypsy/Roma","ONS 18+1","33.33","3","9"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","Total","White other","ONS 18+1","3.52","42","1192"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","Total","Mixed","ONS 5+1","3.57","35","981"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","Total","Mixed White/Black Caribbean","ONS 18+1","3.08","4","130"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","Total","Mixed White/Black African","ONS 18+1","2.34","4","171"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","Total","Mixed White/Asian","ONS 18+1","2.13","4","188"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","Total","Mixed other","ONS 18+1","4.67","23","492"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","Total","Asian","ONS 5+1","0.71","3","425"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","Total","Indian","ONS 18+1","0","0","97"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","Total","Pakistani","ONS 18+1","0","0","11"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","Total","Bangladeshi","ONS 18+1","1.56","1","64"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","Total","Asian other","ONS 18+1","0.79","2","253"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","Total","Black","ONS 5+1","0.65","1","155"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","Total","Black Caribbean","ONS 18+1","0","0","5"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","Total","Black African","ONS 18+1","1.04","1","96"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","Total","Black other","ONS 18+1","0","0","54"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","Total","Chinese","ONS 5+1","0","0","92"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","Total","Other","ONS 5+1","0","0","259"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","Total","All Ethnic Minorities","ONS 18+1","2.79","90","3231"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","Total","Unclassified","ONS 18+1","2.94","7","238"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded primary","White","ONS 5+1","0.88","190","21549"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded primary","White British","ONS 18+1","0.82","169","20681"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded primary","White Irish","ONS 18+1","5","3","60"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded primary","Irish Traveller","ONS 18+1","0","0","23"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded primary","Gypsy/Roma","ONS 18+1","0","0","5"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded primary","White other","ONS 18+1","2.31","18","780"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded primary","Mixed","ONS 5+1","1.64","10","609"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded primary","Mixed White/Black Caribbean","ONS 18+1","2.78","2","72"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded primary","Mixed White/Black African","ONS 18+1","0","0","108"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded primary","Mixed White/Asian","ONS 18+1","0","0","108"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded primary","Mixed other","ONS 18+1","2.49","8","321"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded primary","Asian","ONS 5+1","0","0","255"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded primary","Indian","ONS 18+1","0","0","51"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded primary","Pakistani","ONS 18+1","0","0","8"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded primary","Bangladeshi","ONS 18+1","0","0","35"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded primary","Asian other","ONS 18+1","0","0","161"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded primary","Black","ONS 5+1","0","0","89"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded primary","Black Caribbean","ONS 18+1","0","0","4"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded primary","Black African","ONS 18+1","0","0","52"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded primary","Black other","ONS 18+1","0","0","33"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded primary","Chinese","ONS 5+1","0","0","54"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded primary","Other","ONS 5+1","0","0","173"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded primary","All Ethnic Minorities","ONS 18+1","1.51","31","2048"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded primary","Unclassified","ONS 18+1","0.68","1","148"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded secondary","White","ONS 5+1","5.05","769","15225"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded secondary","White British","ONS 18+1","5","739","14789"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded secondary","White Irish","ONS 18+1","0","0","30"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded secondary","Irish Traveller","ONS 18+1","100","3","3"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded secondary","Gypsy/Roma","ONS 18+1","75","3","4"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded secondary","White other","ONS 18+1","6.02","24","399"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded secondary","Mixed","ONS 5+1","5.75","21","365"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded secondary","Mixed White/Black Caribbean","ONS 18+1","3.45","2","58"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded secondary","Mixed White/Black African","ONS 18+1","6.35","4","63"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded secondary","Mixed White/Asian","ONS 18+1","5.06","4","79"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded secondary","Mixed other","ONS 18+1","6.67","11","165"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded secondary","Asian","ONS 5+1","1.83","3","164"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded secondary","Indian","ONS 18+1","0","0","46"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded secondary","Pakistani","ONS 18+1","0","0","2"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded secondary","Bangladeshi","ONS 18+1","3.57","1","28"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded secondary","Asian other","ONS 18+1","2.27","2","88"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded secondary","Black","ONS 5+1","1.61","1","62"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded secondary","Black Caribbean","ONS 18+1","0","0","1"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded secondary","Black African","ONS 18+1","2.27","1","44"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded secondary","Black other","ONS 18+1","0","0","17"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded secondary","Chinese","ONS 5+1","0","0","36"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded secondary","Other","ONS 5+1","0","0","83"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded secondary","All Ethnic Minorities","ONS 18+1","4.8","55","1146"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","State-funded secondary","Unclassified","ONS 18+1","7.06","6","85"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","special","White","ONS 5+1","11.51","70","608"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","special","White British","ONS 18+1","11.8","70","593"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","special","White Irish","ONS 18+1","0","0","2"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","special","White other","ONS 18+1","0","0","13"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","special","Mixed","ONS 5+1","57.14","4","7"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","special","Mixed White/Asian","ONS 18+1","0","0","1"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","special","Mixed other","ONS 18+1","66.67","4","6"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","special","Asian","ONS 5+1","0","0","6"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","special","Pakistani","ONS 18+1","0","0","1"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","special","Bangladeshi","ONS 18+1","0","0","1"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","special","Asian other","ONS 18+1","0","0","4"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","special","Black","ONS 5+1","0","0","4"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","special","Black other","ONS 18+1","0","0","4"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","special","Chinese","ONS 5+1","0","0","2"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","special","Other","ONS 5+1","0","0","3"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","special","All Ethnic Minorities","ONS 18+1","10.81","4","37"
"Fixed period exclusions","2017/18","Academic Year","E08000014","Sefton","special","Unclassified","ONS 18+1","0","0","5"
"Fixed period exclusions","2017/18","Academic Year","E08000015","Wirral","Total","White","ONS 5+1","4.78","2208","46207"
"Fixed period exclusions","2017/18","Academic Year","E08000015","Wirral","Total","White British","ONS 18+1","4.86","2198","45258"
"Fixed period exclusions","2017/18","Academic Year","E08000015","Wirral","Total","White Irish","ONS 18+1","0","0","106"
"Fixed period exclusions","2017/18","Academic Year","E08000015","Wirral","Total","Irish Traveller","ONS 18+1","0","0","4"
"Fixed period exclusions","2017/18","Academic Year","E08000015","Wirral","Total","Gypsy/Roma","ONS 18+1","0","0","4"
"Fixed period exclusions","2017/18","Academic Year","E08000015","Wirral","Total","White other","ONS 18+1","1.2","10","835"
"Fixed period exclusions","2017/18","Academic Year","E08000015","Wirral","Total","Mixed","ONS 5+1","4.4","61","1385"
