"Measure","Year","Time_type","Ethnicity","Ethnicity_type","Geography","Broad ethnicity","Gender","Gender_type","Teacher","Teacher_type","School","School_type","Value","Value_type","Value_note","Teachers"
"Number of teachers","2016","Year","Chinese","16+1","England","Chinese and other","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.2","%","","600"
"Number of teachers","2016","Year","Any other ethnic group","16+1","England","Chinese and other","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.6","%","","1800"
"Number of teachers","2016","Year","Ethnicity details provided","16+1","England","Ethnicity details provided","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","93.7","%","","310300"
"Number of teachers","2016","Year","Refused","16+1","England","Unknown","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.7","%","","2300"
"Number of teachers","2016","Year","Information not yet obtained","16+1","England","Unknown","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","5.6","%","","18600"
"Number of teachers","2017","Year","Any other Asian Background","16+1","England","Asian","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.7","%","","2000"
"Number of teachers","2017","Year","Any other Black background","16+1","England","Black","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.3","%","","900"
"Number of teachers","2017","Year","Any other ethnic group","16+1","England","Chinese and other","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.6","%","","1800"
"Number of teachers","2017","Year","Any other mixed background","16+1","England","Mixed","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.5","%","","1600"
"Number of teachers","2017","Year","Any other white background","16+1","England","White","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","4.3","%","","13000"
"Number of teachers","2017","Year","Bangladeshi","16+1","England","Asian","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.6","%","","1700"
"Number of teachers","2017","Year","Black - African","16+1","England","Black","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.7","%","","2200"
"Number of teachers","2017","Year","Black Caribbean","16+1","England","Black","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1.1","%","","3200"
"Number of teachers","2017","Year","Chinese","16+1","England","Chinese and other","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.2","%","","600"
"Number of teachers","2017","Year","Ethnicity details provided","16+1","England","Ethnicity details provided","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","93.3","%","","305500"
"Number of teachers","2017","Year","Indian","16+1","England","Asian","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","2.1","%","","6300"
"Number of teachers","2017","Year","Information not yet obtained","16+1","England","Unknown","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","6","%","","19700"
"Number of teachers","2017","Year","Pakistani","16+1","England","Asian","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1.2","%","","3600"
"Number of teachers","2017","Year","Refused","16+1","England","Unknown","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.6","%","","2100"
"Number of teachers","2017","Year","White - British","16+1","England","White","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","85.6","%","","261400"
"Number of teachers","2017","Year","White - Irish","16+1","England","White","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1.5","%","","4500"
"Number of teachers","2017","Year","White and Asian","16+1","England","Mixed","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.3","%","","1000"
"Number of teachers","2017","Year","White and Black African","16+1","England","Mixed","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.1","%","","400"
"Number of teachers","2017","Year","White and Black Caribbean","16+1","England","Mixed","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.4","%","","1100"
"Number of teachers","2018","Year","Any Other Asian Background","16+1","England","Asian","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.7","%","","2100"
"Number of teachers","2018","Year","Any Other Black Background","16+1","England","Black","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.3","%","","900"
"Number of teachers","2018","Year","Any Other Ethnic Group","16+1","England","Chinese and other","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.6","%","","1900"
"Number of teachers","2018","Year","Any Other Mixed Background","16+1","England","Mixed","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.5","%","","1600"
"Number of teachers","2018","Year","Any Other White Background","16+1","England","White","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","4.3","%","","13200"
"Number of teachers","2018","Year","Bangladeshi","16+1","England","Asian","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.6","%","","1900"
"Number of teachers","2018","Year","Black African","16+1","England","Black","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.8","%","","2300"
"Number of teachers","2018","Year","Black Caribbean","16+1","England","Black","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1.1","%","","3300"
"Number of teachers","2018","Year","Chinese","16+1","England","Chinese and other","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.2","%","","600"
"Number of teachers","2018","Year","Ethnicity Details Provided ","16+1","England","Ethnicity details provided","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","92.9","%","","305200"
"Number of teachers","2018","Year","Indian","16+1","England","Asian","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","2.1","%","","6500"
"Number of teachers","2018","Year","Information Not Yet Obtained","16+1","England","Unknown","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","6.4","%","","20900"
"Number of teachers","2018","Year","Pakistani","16+1","England","Asian","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1.3","%","","3900"
"Number of teachers","2018","Year","Refused","16+1","England","Unknown","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.7","%","","2500"
"Number of teachers","2018","Year","White and Asian","16+1","England","Mixed","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.3","%","","1000"
"Number of teachers","2018","Year","White and Black African","16+1","England","Mixed","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.1","%","","400"
"Number of teachers","2018","Year","White and Black Caribbean","16+1","England","Mixed","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.4","%","","1200"
"Number of teachers","2018","Year","White British","16+1","England","White","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","85.2","%","","260100"
"Number of teachers","2018","Year","White Irish","16+1","England","White","Women","All/Men/Women","Classroom and others","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1.4","%","","4300"
"Number of teachers","2016","Year","White - British","16+1","England","White","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","90.4","%","","42300"
"Number of teachers","2016","Year","White - Irish","16+1","England","White","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1.6","%","","800"
"Number of teachers","2016","Year","Any other white background","16+1","England","White","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","2.3","%","","1100"
"Number of teachers","2016","Year","White and Black Caribbean","16+1","England","Mixed","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.2","%","","100"
"Number of teachers","2016","Year","White and Black African","16+1","England","Mixed","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.1","%","","!"
"Number of teachers","2016","Year","White and Asian","16+1","England","Mixed","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.3","%","","100"
"Number of teachers","2016","Year","Any other mixed background","16+1","England","Mixed","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.4","%","","200"
"Number of teachers","2016","Year","Indian","16+1","England","Asian","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1.3","%","","600"
"Number of teachers","2016","Year","Pakistani","16+1","England","Asian","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.7","%","","300"
"Number of teachers","2016","Year","Bangladeshi","16+1","England","Asian","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.2","%","","100"
"Number of teachers","2016","Year","Any other Asian Background","16+1","England","Asian","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.4","%","","200"
"Number of teachers","2016","Year","Black Caribbean","16+1","England","Black","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1","%","","500"
"Number of teachers","2016","Year","Black African","16+1","England","Black","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.4","%","","200"
"Number of teachers","2016","Year","Any other Black background","16+1","England","Black","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.2","%","","100"
"Number of teachers","2016","Year","Chinese","16+1","England","Chinese and other","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.1","%","","!"
"Number of teachers","2016","Year","Any other ethnic group","16+1","England","Chinese and other","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.4","%","","200"
"Number of teachers","2016","Year","Ethnicity details provided","16+1","England","Ethnicity details provided","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","95.3","%","","46800"
"Number of teachers","2016","Year","Refused","16+1","England","Unknown","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.5","%","","300"
"Number of teachers","2016","Year","Information not yet obtained","16+1","England","Unknown","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","4.1","%","","2000"
"Number of teachers","2017","Year","Any other Asian Background","16+1","England","Asian","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.4","%","","200"
"Number of teachers","2017","Year","Any other Black background","16+1","England","Black","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.2","%","","100"
"Number of teachers","2017","Year","Any other ethnic group","16+1","England","Chinese and other","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.4","%","","200"
"Number of teachers","2017","Year","Any other mixed background","16+1","England","Mixed","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.4","%","","200"
"Number of teachers","2017","Year","Any other white background","16+1","England","White","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","2.4","%","","1100"
"Number of teachers","2017","Year","Bangladeshi","16+1","England","Asian","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.2","%","","100"
"Number of teachers","2017","Year","Black - African","16+1","England","Black","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.4","%","","200"
"Number of teachers","2017","Year","Black Caribbean","16+1","England","Black","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1","%","","500"
"Number of teachers","2017","Year","Chinese","16+1","England","Chinese and other","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.1","%","","!"
"Number of teachers","2017","Year","Ethnicity details provided","16+1","England","Ethnicity details provided","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","95","%","","46500"
"Number of teachers","2017","Year","Indian","16+1","England","Asian","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1.5","%","","700"
"Number of teachers","2017","Year","Information not yet obtained","16+1","England","Unknown","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","4.4","%","","2200"
"Number of teachers","2017","Year","Pakistani","16+1","England","Asian","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.7","%","","300"
"Number of teachers","2017","Year","Refused","16+1","England","Unknown","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.5","%","","300"
"Number of teachers","2017","Year","White - British","16+1","England","White","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","90","%","","41900"
"Number of teachers","2017","Year","White - Irish","16+1","England","White","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1.7","%","","800"
"Number of teachers","2017","Year","White and Asian","16+1","England","Mixed","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.3","%","","100"
"Number of teachers","2017","Year","White and Black African","16+1","England","Mixed","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.1","%","","!"
"Number of teachers","2017","Year","White and Black Caribbean","16+1","England","Mixed","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.3","%","","100"
"Number of teachers","2018","Year","Any Other Asian Background","16+1","England","Asian","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.4","%","","200"
"Number of teachers","2018","Year","Any Other Black Background","16+1","England","Black","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.2","%","","100"
"Number of teachers","2018","Year","Any Other Ethnic Group","16+1","England","Chinese and other","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.4","%","","200"
"Number of teachers","2018","Year","Any Other Mixed Background","16+1","England","Mixed","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.4","%","","200"
"Number of teachers","2018","Year","Any Other White Background","16+1","England","White","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","2.5","%","","1100"
"Number of teachers","2018","Year","Bangladeshi","16+1","England","Asian","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.3","%","","100"
"Number of teachers","2018","Year","Black African","16+1","England","Black","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.4","%","","200"
"Number of teachers","2018","Year","Black Caribbean","16+1","England","Black","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1.0","%","","500"
"Number of teachers","2018","Year","Chinese","16+1","England","Chinese and other","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.1","%","","!"
"Number of teachers","2018","Year","Ethnicity Details Provided","16+1","England","Ethnicity details provided","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","94.4","%","","46700"
"Number of teachers","2018","Year","Indian","16+1","England","Asian","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1.5","%","","700"
"Number of teachers","2018","Year","Information Not Yet Obtained","16+1","England","Unknown","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","5.0","%","","2500"
"Number of teachers","2018","Year","Pakistani","16+1","England","Asian","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.7","%","","300"
"Number of teachers","2018","Year","Refused","16+1","England","Unknown","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.6","%","","300"
"Number of teachers","2018","Year","White and Asian","16+1","England","Mixed","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.3","%","","100"
"Number of teachers","2018","Year","White and Black African","16+1","England","Mixed","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.1","%","","!"
"Number of teachers","2018","Year","White and Black Caribbean","16+1","England","Mixed","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.3","%","","100"
"Number of teachers","2018","Year","White British","16+1","England","White","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","89.7","%","","41900"
"Number of teachers","2018","Year","White Irish","16+1","England","White","All","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1.7","%","","800"
"Number of teachers","2016","Year","White - British","16+1","England","White","Men","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","91","%","","13000"
"Number of teachers","2016","Year","White - Irish","16+1","England","White","Men","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1.8","%","","300"
"Number of teachers","2016","Year","Any other white background","16+1","England","White","Men","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","2.1","%","","300"
"Number of teachers","2016","Year","White and Black Caribbean","16+1","England","Mixed","Men","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.2","%","","!"
"Number of teachers","2016","Year","White and Black African","16+1","England","Mixed","Men","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.1","%","","!"
"Number of teachers","2016","Year","White and Asian","16+1","England","Mixed","Men","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.3","%","","!"
"Number of teachers","2016","Year","Any other mixed background","16+1","England","Mixed","Men","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.3","%","","!"
"Number of teachers","2016","Year","Indian","16+1","England","Asian","Men","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1.1","%","","200"
"Number of teachers","2016","Year","Pakistani","16+1","England","Asian","Men","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.6","%","","100"
"Number of teachers","2016","Year","Bangladeshi","16+1","England","Asian","Men","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.3","%","","!"
"Number of teachers","2016","Year","Any other Asian Background","16+1","England","Asian","Men","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.3","%","","!"
"Number of teachers","2016","Year","Black Caribbean","16+1","England","Black","Men","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.7","%","","100"
"Number of teachers","2016","Year","Black African","16+1","England","Black","Men","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.4","%","","100"
"Number of teachers","2016","Year","Any other Black background","16+1","England","Black","Men","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.2","%","","!"
"Number of teachers","2016","Year","Chinese","16+1","England","Chinese and other","Men","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.1","%","","!"
"Number of teachers","2016","Year","Any other ethnic group","16+1","England","Chinese and other","Men","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.5","%","","100"
"Number of teachers","2016","Year","Ethnicity details provided","16+1","England","Ethnicity details provided","Men","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","95.5","%","","14300"
"Number of teachers","2016","Year","Refused","16+1","England","Unknown","Men","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.6","%","","100"
"Number of teachers","2016","Year","Information not yet obtained","16+1","England","Unknown","Men","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","3.9","%","","600"
"Number of teachers","2017","Year","Any other Asian Background","16+1","England","Asian","Men","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.4","%","","100"
"Number of teachers","2017","Year","Any other Black background","16+1","England","Black","Men","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.2","%","","!"
"Number of teachers","2017","Year","Any other ethnic group","16+1","England","Chinese and other","Men","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.4","%","","100"
"Number of teachers","2017","Year","Any other mixed background","16+1","England","Mixed","Men","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.3","%","","!"
"Number of teachers","2017","Year","Any other white background","16+1","England","White","Men","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","2.2","%","","300"
"Number of teachers","2017","Year","Bangladeshi","16+1","England","Asian","Men","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.3","%","","!"
"Number of teachers","2017","Year","Black - African","16+1","England","Black","Men","All/Men/Women","Deputies and assistants","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.4","%","","100"
