"Measure","Time","Ethnicity","Ethnicity_type","Role_Type","Broad_grade","Grade","Entry_level","Value","Headcount"
"Percentage of NHS staff in NHS trusts and CCGs","March 2013","All","ONS 6+1","Medical","Senior Doctor","Specialty Doctor","Graduate","N/A","6519"
"Percentage of NHS staff in NHS trusts and CCGs","March 2013","Asian","ONS 6+1","Medical","Senior Doctor","Specialty Doctor","Graduate","44.6","2696"
"Percentage of NHS staff in NHS trusts and CCGs","March 2013","Black","ONS 6+1","Medical","Senior Doctor","Specialty Doctor","Graduate","5.3","321"
"Percentage of NHS staff in NHS trusts and CCGs","March 2013","Chinese","ONS 6+1","Medical","Senior Doctor","Specialty Doctor","Graduate","0.9","54"
"Percentage of NHS staff in NHS trusts and CCGs","March 2013","Mixed","ONS 6+1","Medical","Senior Doctor","Specialty Doctor","Graduate","2.7","161"
"Percentage of NHS staff in NHS trusts and CCGs","March 2013","Other","ONS 6+1","Medical","Senior Doctor","Specialty Doctor","Graduate","6.5","392"
"Percentage of NHS staff in NHS trusts and CCGs","March 2013","Unknown","ONS 6+1","Medical","Senior Doctor","Specialty Doctor","Graduate","N/A","477"
"Percentage of NHS staff in NHS trusts and CCGs","March 2013","White","ONS 6+1","Medical","Senior Doctor","Specialty Doctor","Graduate","40","2418"
"Percentage of NHS staff in NHS trusts and CCGs","March 2013","All","ONS 6+1","Medical","Junior Doctor","Specialty Registrar","Graduate","N/A","29568"
"Percentage of NHS staff in NHS trusts and CCGs","March 2013","Asian","ONS 6+1","Medical","Junior Doctor","Specialty Registrar","Graduate","33.1","8872"
"Percentage of NHS staff in NHS trusts and CCGs","March 2013","Black","ONS 6+1","Medical","Junior Doctor","Specialty Registrar","Graduate","4.3","1142"
"Percentage of NHS staff in NHS trusts and CCGs","March 2013","Chinese","ONS 6+1","Medical","Junior Doctor","Specialty Registrar","Graduate","2.8","762"
"Percentage of NHS staff in NHS trusts and CCGs","March 2013","Mixed","ONS 6+1","Medical","Junior Doctor","Specialty Registrar","Graduate","3.1","839"
"Percentage of NHS staff in NHS trusts and CCGs","March 2013","Other","ONS 6+1","Medical","Junior Doctor","Specialty Registrar","Graduate","4.1","1102"
"Percentage of NHS staff in NHS trusts and CCGs","March 2013","Unknown","ONS 6+1","Medical","Junior Doctor","Specialty Registrar","Graduate","N/A","2739"
"Percentage of NHS staff in NHS trusts and CCGs","March 2013","White","ONS 6+1","Medical","Junior Doctor","Specialty Registrar","Graduate","52.6","14112"
"Percentage of NHS staff in NHS trusts and CCGs","March 2013","All","ONS 6+1","Medical","Senior Doctor","Staff Grade","Graduate","N/A","565"
"Percentage of NHS staff in NHS trusts and CCGs","March 2013","Asian","ONS 6+1","Medical","Senior Doctor","Staff Grade","Graduate","40.6","209"
"Percentage of NHS staff in NHS trusts and CCGs","March 2013","Black","ONS 6+1","Medical","Senior Doctor","Staff Grade","Graduate","7","36"
"Percentage of NHS staff in NHS trusts and CCGs","March 2013","Chinese","ONS 6+1","Medical","Senior Doctor","Staff Grade","Graduate","0.8","4"
"Percentage of NHS staff in NHS trusts and CCGs","March 2013","Mixed","ONS 6+1","Medical","Senior Doctor","Staff Grade","Graduate","1.9","10"
"Percentage of NHS staff in NHS trusts and CCGs","March 2013","Other","ONS 6+1","Medical","Senior Doctor","Staff Grade","Graduate","7.4","38"
"Percentage of NHS staff in NHS trusts and CCGs","March 2013","Unknown","ONS 6+1","Medical","Senior Doctor","Staff Grade","Graduate","N/A","50"
"Percentage of NHS staff in NHS trusts and CCGs","March 2013","White","ONS 6+1","Medical","Senior Doctor","Staff Grade","Graduate","42.3","218"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","All","ONS 6+1","Medical","All grades","All grades","All","N/A","107896"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Asian","ONS 6+1","Medical","All grades","All grades","All","28.2","28262"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Black","ONS 6+1","Medical","All grades","All grades","All","3.7","3692"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Chinese","ONS 6+1","Medical","All grades","All grades","All","2.4","2360"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Mixed","ONS 6+1","Medical","All grades","All grades","All","2.7","2737"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Other","ONS 6+1","Medical","All grades","All grades","All","3.8","3848"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Unknown","ONS 6+1","Medical","All grades","All grades","All","N/A","7845"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","White","ONS 6+1","Medical","All grades","All grades","All","59.1","59152"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","All","ONS 6+1","Medical","Senior Doctor","Associate Specialist","Graduate","N/A","3112"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Asian","ONS 6+1","Medical","Senior Doctor","Associate Specialist","Graduate","40.2","1186"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Black","ONS 6+1","Medical","Senior Doctor","Associate Specialist","Graduate","5.3","155"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Chinese","ONS 6+1","Medical","Senior Doctor","Associate Specialist","Graduate","0.7","22"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Mixed","ONS 6+1","Medical","Senior Doctor","Associate Specialist","Graduate","2.5","75"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Other","ONS 6+1","Medical","Senior Doctor","Associate Specialist","Graduate","8.8","258"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Unknown","ONS 6+1","Medical","Senior Doctor","Associate Specialist","Graduate","N/A","165"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","White","ONS 6+1","Medical","Senior Doctor","Associate Specialist","Graduate","42.4","1251"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","All","ONS 6+1","Medical","Senior Doctor","Consultant","Graduate","N/A","42863"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Asian","ONS 6+1","Medical","Senior Doctor","Consultant","Graduate","25.4","10300"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Black","ONS 6+1","Medical","Senior Doctor","Consultant","Graduate","2.8","1128"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Chinese","ONS 6+1","Medical","Senior Doctor","Consultant","Graduate","1.7","707"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Mixed","ONS 6+1","Medical","Senior Doctor","Consultant","Graduate","1.8","740"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Other","ONS 6+1","Medical","Senior Doctor","Consultant","Graduate","3.3","1331"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Unknown","ONS 6+1","Medical","Senior Doctor","Consultant","Graduate","N/A","2318"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","White","ONS 6+1","Medical","Senior Doctor","Consultant","Graduate","65","26339"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","All","ONS 6+1","Medical","Junior Doctor","Core Training","Graduate","N/A","8592"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Asian","ONS 6+1","Medical","Junior Doctor","Core Training","Graduate","26.3","2076"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Black","ONS 6+1","Medical","Junior Doctor","Core Training","Graduate","5.1","406"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Chinese","ONS 6+1","Medical","Junior Doctor","Core Training","Graduate","3.5","275"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Mixed","ONS 6+1","Medical","Junior Doctor","Core Training","Graduate","3.7","296"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Other","ONS 6+1","Medical","Junior Doctor","Core Training","Graduate","4.4","346"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Unknown","ONS 6+1","Medical","Junior Doctor","Core Training","Graduate","N/A","691"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","White","ONS 6+1","Medical","Junior Doctor","Core Training","Graduate","57","4502"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","All","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 1","Graduate","N/A","6384"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Asian","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 1","Graduate","20.6","1176"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Black","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 1","Graduate","3.2","183"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Chinese","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 1","Graduate","4.1","232"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Mixed","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 1","Graduate","3.7","210"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Other","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 1","Graduate","2.8","161"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Unknown","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 1","Graduate","N/A","680"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","White","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 1","Graduate","65.6","3742"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","All","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 2","Graduate","N/A","6513"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Asian","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 2","Graduate","25","1489"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Black","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 2","Graduate","3.5","209"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Chinese","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 2","Graduate","4.2","248"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Mixed","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 2","Graduate","4.1","245"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Other","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 2","Graduate","2.8","169"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Unknown","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 2","Graduate","N/A","556"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","White","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 2","Graduate","60.4","3597"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","All","ONS 6+1","Medical","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","N/A","1912"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Asian","ONS 6+1","Medical","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","17.8","306"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Black","ONS 6+1","Medical","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","2.1","37"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Chinese","ONS 6+1","Medical","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","0.5","9"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Mixed","ONS 6+1","Medical","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","1.4","24"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Other","ONS 6+1","Medical","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","2","35"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Unknown","ONS 6+1","Medical","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","N/A","191"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","White","ONS 6+1","Medical","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","76.1","1310"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","All","ONS 6+1","Medical","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","N/A","1433"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Asian","ONS 6+1","Medical","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","18.9","252"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Black","ONS 6+1","Medical","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","2.5","33"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Chinese","ONS 6+1","Medical","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","1","14"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Mixed","ONS 6+1","Medical","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","1.4","19"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Other","ONS 6+1","Medical","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","2.2","30"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Unknown","ONS 6+1","Medical","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","N/A","99"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","White","ONS 6+1","Medical","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","73.9","986"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","All","ONS 6+1","Medical","Senior Doctor","Specialty Doctor","Graduate","N/A","6848"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Asian","ONS 6+1","Medical","Senior Doctor","Specialty Doctor","Graduate","44.6","2818"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Black","ONS 6+1","Medical","Senior Doctor","Specialty Doctor","Graduate","5.2","331"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Chinese","ONS 6+1","Medical","Senior Doctor","Specialty Doctor","Graduate","1","63"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Mixed","ONS 6+1","Medical","Senior Doctor","Specialty Doctor","Graduate","2.8","176"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Other","ONS 6+1","Medical","Senior Doctor","Specialty Doctor","Graduate","6.3","398"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Unknown","ONS 6+1","Medical","Senior Doctor","Specialty Doctor","Graduate","N/A","523"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","White","ONS 6+1","Medical","Senior Doctor","Specialty Doctor","Graduate","40.1","2539"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","All","ONS 6+1","Medical","Junior Doctor","Specialty Registrar","Graduate","N/A","30201"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Asian","ONS 6+1","Medical","Junior Doctor","Specialty Registrar","Graduate","31.1","8586"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Black","ONS 6+1","Medical","Junior Doctor","Specialty Registrar","Graduate","4.3","1182"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Chinese","ONS 6+1","Medical","Junior Doctor","Specialty Registrar","Graduate","2.9","788"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Mixed","ONS 6+1","Medical","Junior Doctor","Specialty Registrar","Graduate","3.4","949"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Other","ONS 6+1","Medical","Junior Doctor","Specialty Registrar","Graduate","4","1101"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Unknown","ONS 6+1","Medical","Junior Doctor","Specialty Registrar","Graduate","N/A","2616"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","White","ONS 6+1","Medical","Junior Doctor","Specialty Registrar","Graduate","54.3","14979"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","All","ONS 6+1","Medical","Senior Doctor","Staff Grade","Graduate","N/A","467"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Asian","ONS 6+1","Medical","Senior Doctor","Staff Grade","Graduate","40.7","172"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Black","ONS 6+1","Medical","Senior Doctor","Staff Grade","Graduate","7.6","32"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Chinese","ONS 6+1","Medical","Senior Doctor","Staff Grade","Graduate","0.7","3"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Mixed","ONS 6+1","Medical","Senior Doctor","Staff Grade","Graduate","2.6","11"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Other","ONS 6+1","Medical","Senior Doctor","Staff Grade","Graduate","7.3","31"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Unknown","ONS 6+1","Medical","Senior Doctor","Staff Grade","Graduate","N/A","44"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","White","ONS 6+1","Medical","Senior Doctor","Staff Grade","Graduate","41.1","174"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","All","ONS 6+1","Medical","All grades","All grades","All","N/A","109890"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Asian","ONS 6+1","Medical","All grades","All grades","All","28.2","28636"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Black","ONS 6+1","Medical","All grades","All grades","All","3.7","3739"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Chinese","ONS 6+1","Medical","All grades","All grades","All","2.4","2391"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Mixed","ONS 6+1","Medical","All grades","All grades","All","2.8","2819"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Other","ONS 6+1","Medical","All grades","All grades","All","3.9","3925"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Unknown","ONS 6+1","Medical","All grades","All grades","All","N/A","8268"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","White","ONS 6+1","Medical","All grades","All grades","All","59.2","60112"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","All","ONS 6+1","Medical","Senior Doctor","Associate Specialist","Graduate","N/A","2859"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Asian","ONS 6+1","Medical","Senior Doctor","Associate Specialist","Graduate","39.7","1070"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Black","ONS 6+1","Medical","Senior Doctor","Associate Specialist","Graduate","5.3","143"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Chinese","ONS 6+1","Medical","Senior Doctor","Associate Specialist","Graduate","0.8","21"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Mixed","ONS 6+1","Medical","Senior Doctor","Associate Specialist","Graduate","2.7","74"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Other","ONS 6+1","Medical","Senior Doctor","Associate Specialist","Graduate","9.1","246"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Unknown","ONS 6+1","Medical","Senior Doctor","Associate Specialist","Graduate","N/A","164"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","White","ONS 6+1","Medical","Senior Doctor","Associate Specialist","Graduate","42.3","1141"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","All","ONS 6+1","Medical","Senior Doctor","Consultant","Graduate","N/A","44500"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Asian","ONS 6+1","Medical","Senior Doctor","Consultant","Graduate","26.1","10954"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Black","ONS 6+1","Medical","Senior Doctor","Consultant","Graduate","2.7","1154"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Chinese","ONS 6+1","Medical","Senior Doctor","Consultant","Graduate","1.8","756"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Mixed","ONS 6+1","Medical","Senior Doctor","Consultant","Graduate","1.9","799"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Other","ONS 6+1","Medical","Senior Doctor","Consultant","Graduate","3.4","1415"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Unknown","ONS 6+1","Medical","Senior Doctor","Consultant","Graduate","N/A","2474"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","White","ONS 6+1","Medical","Senior Doctor","Consultant","Graduate","64.1","26948"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","All","ONS 6+1","Medical","Junior Doctor","Core Training","Graduate","N/A","8712"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Asian","ONS 6+1","Medical","Junior Doctor","Core Training","Graduate","27","2137"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Black","ONS 6+1","Medical","Junior Doctor","Core Training","Graduate","5.1","401"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Chinese","ONS 6+1","Medical","Junior Doctor","Core Training","Graduate","3.3","258"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Mixed","ONS 6+1","Medical","Junior Doctor","Core Training","Graduate","3.7","296"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Other","ONS 6+1","Medical","Junior Doctor","Core Training","Graduate","3.8","298"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Unknown","ONS 6+1","Medical","Junior Doctor","Core Training","Graduate","N/A","808"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","White","ONS 6+1","Medical","Junior Doctor","Core Training","Graduate","57.1","4514"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","All","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 1","Graduate","N/A","6337"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Asian","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 1","Graduate","20.9","1205"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Black","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 1","Graduate","3","176"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Chinese","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 1","Graduate","4","230"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Mixed","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 1","Graduate","3.4","198"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Other","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 1","Graduate","3.1","179"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Unknown","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 1","Graduate","N/A","559"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","White","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 1","Graduate","65.6","3790"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","All","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 2","Graduate","N/A","6626"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Asian","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 2","Graduate","22.5","1348"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Black","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 2","Graduate","3.6","214"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Chinese","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 2","Graduate","3.7","224"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Mixed","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 2","Graduate","4","239"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Other","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 2","Graduate","3.1","185"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Unknown","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 2","Graduate","N/A","639"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","White","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 2","Graduate","63.1","3777"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","All","ONS 6+1","Medical","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","N/A","1817"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Asian","ONS 6+1","Medical","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","18.1","287"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Black","ONS 6+1","Medical","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","2.2","35"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Chinese","ONS 6+1","Medical","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","0.3","5"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Mixed","ONS 6+1","Medical","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","1.1","18"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Other","ONS 6+1","Medical","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","1.8","29"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Unknown","ONS 6+1","Medical","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","N/A","229"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","White","ONS 6+1","Medical","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","76.4","1214"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","All","ONS 6+1","Medical","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","N/A","1413"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Asian","ONS 6+1","Medical","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","18.2","237"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Black","ONS 6+1","Medical","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","2.2","29"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Chinese","ONS 6+1","Medical","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","1.2","15"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Mixed","ONS 6+1","Medical","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","1.8","24"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Other","ONS 6+1","Medical","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","2.5","33"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Unknown","ONS 6+1","Medical","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","N/A","114"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","White","ONS 6+1","Medical","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","74","961"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","All","ONS 6+1","Medical","Senior Doctor","Specialty Doctor","Graduate","N/A","7158"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Asian","ONS 6+1","Medical","Senior Doctor","Specialty Doctor","Graduate","44","2903"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Black","ONS 6+1","Medical","Senior Doctor","Specialty Doctor","Graduate","5.2","346"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Chinese","ONS 6+1","Medical","Senior Doctor","Specialty Doctor","Graduate","1","68"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Mixed","ONS 6+1","Medical","Senior Doctor","Specialty Doctor","Graduate","2.6","170"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Other","ONS 6+1","Medical","Senior Doctor","Specialty Doctor","Graduate","6.2","410"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Unknown","ONS 6+1","Medical","Senior Doctor","Specialty Doctor","Graduate","N/A","561"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","White","ONS 6+1","Medical","Senior Doctor","Specialty Doctor","Graduate","40.9","2700"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","All","ONS 6+1","Medical","Junior Doctor","Specialty Registrar","Graduate","N/A","30434"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Asian","ONS 6+1","Medical","Junior Doctor","Specialty Registrar","Graduate","30.4","8428"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Black","ONS 6+1","Medical","Junior Doctor","Specialty Registrar","Graduate","4.4","1215"
